folder	current_movie	target_movie	og_movie_count	subtitle_count	ignored_count	og_movies
/Volumes/导演们/布鲁诺·杜蒙/人之子	/Volumes/导演们/布鲁诺·杜蒙/人之子/人之子.The.Life.Of.Jesus.1997.720p.bluray.x264-usury.mkv	/Volumes/导演们/布鲁诺·杜蒙/人之子.The.Life.Of.Jesus.1997.720p.bluray.x264-usury.mkv	1	1	0	/Volumes/导演们/布鲁诺·杜蒙/人之子/OG.人之子.The.Life.Of.Jesus.1997.720p.bluray.x264-usury.mkv
/Volumes/导演们/布鲁诺·杜蒙/人啊人	/Volumes/导演们/布鲁诺·杜蒙/人啊人/人啊人.l.humanite.1999.720p.bluray.x264-usury.mkv	/Volumes/导演们/布鲁诺·杜蒙/人啊人.l.humanite.1999.720p.bluray.x264-usury.mkv	1	2	0	/Volumes/导演们/布鲁诺·杜蒙/人啊人/OG.人啊人.l.humanite.1999.720p.bluray.x264-usury.mkv
/Volumes/导演们/布鲁诺·杜蒙/哈德维希	/Volumes/导演们/布鲁诺·杜蒙/哈德维希/哈德维希.Hadewijch.2009.720p.BluRay.DD.5.1.x264-EA.mkv	/Volumes/导演们/布鲁诺·杜蒙/哈德维希.Hadewijch.2009.720p.BluRay.DD.5.1.x264-EA.mkv	1	1	0	/Volumes/导演们/布鲁诺·杜蒙/哈德维希/OG.哈德维希.Hadewijch.2009.720p.BluRay.DD.5.1.x264-EA.mkv
/Volumes/导演们/帕索里尼/12月12日	/Volumes/导演们/帕索里尼/12月12日/12月12日.12.Dicembre.Piazza.Fontana.1972.mkv	/Volumes/导演们/帕索里尼/12月12日.12.Dicembre.Piazza.Fontana.1972.mkv	1	2	0	/Volumes/导演们/帕索里尼/12月12日/OG.12月12日.12.Dicembre.Piazza.Fontana.1972.mkv
/Volumes/导演们/帕索里尼/萨那的城墙	/Volumes/导演们/帕索里尼/萨那的城墙/萨那的城墙.Le.Mura.di.Sanaa.1971.P.Pasolini.mkv	/Volumes/导演们/帕索里尼/萨那的城墙.Le.Mura.di.Sanaa.1971.P.Pasolini.mkv	1	2	0	/Volumes/导演们/帕索里尼/萨那的城墙/OG.萨那的城墙.Le.Mura.di.Sanaa.1971.P.Pasolini.mkv
/Volumes/导演们/成濑巳喜男/女人中的陌生人	/Volumes/导演们/成濑巳喜男/女人中的陌生人/女人中的陌生人.The.Stranger.Within.a.Woman.1966.mkv	/Volumes/导演们/成濑巳喜男/女人中的陌生人.The.Stranger.Within.a.Woman.1966.mkv	1	2	0	/Volumes/导演们/成濑巳喜男/女人中的陌生人/OG.女人中的陌生人.The.Stranger.Within.a.Woman.1966.mkv
/Volumes/导演们/成濑巳喜男/愿妻如蔷薇	/Volumes/导演们/成濑巳喜男/愿妻如蔷薇/妻如蔷薇.Wife.Be.Like.a.Rose.1935.mkv	/Volumes/导演们/成濑巳喜男/妻如蔷薇.Wife.Be.Like.a.Rose.1935.mkv	1	1	0	/Volumes/导演们/成濑巳喜男/愿妻如蔷薇/OG.妻如蔷薇.Wife.Be.Like.a.Rose.1935.mkv
/Volumes/导演们/成濑巳喜男/晚菊	/Volumes/导演们/成濑巳喜男/晚菊/晚菊.Bangiku.1954.mkv	/Volumes/导演们/成濑巳喜男/晚菊.Bangiku.1954.mkv	1	2	0	/Volumes/导演们/成濑巳喜男/晚菊/OG.晚菊.Bangiku.1954.mkv
/Volumes/导演们/托尼·理查德森/艺人	/Volumes/导演们/托尼·理查德森/艺人/艺人.The.Entertainer.1960.mkv	/Volumes/导演们/托尼·理查德森/艺人.The.Entertainer.1960.mkv	1	1	0	/Volumes/导演们/托尼·理查德森/艺人/OG.艺人.The.Entertainer.1960.mkv
/Volumes/导演们/托尼·理查德森/苦恋	/Volumes/导演们/托尼·理查德森/苦恋/苦恋.The.Loved.One.1965.mkv	/Volumes/导演们/托尼·理查德森/苦恋.The.Loved.One.1965.mkv	1	1	0	/Volumes/导演们/托尼·理查德森/苦恋/OG.苦恋.The.Loved.One.1965.mkv
/Volumes/导演们/拉杜·裘德/倒霉性爱.发狂黄片	/Volumes/导演们/拉杜·裘德/倒霉性爱.发狂黄片/倒霉性爱.发狂黄片.Bad.Luck.Banging.or.Loony.Porn.2021.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/拉杜·裘德/倒霉性爱.发狂黄片.Bad.Luck.Banging.or.Loony.Porn.2021.BDRip.X264.iNT-TLF.mkv	1	3	0	/Volumes/导演们/拉杜·裘德/倒霉性爱.发狂黄片/OG.倒霉性爱.发狂黄片.Bad.Luck.Banging.or.Loony.Porn.2021.BDRip.X264.iNT-TLF.mkv
/Volumes/导演们/斯坦利·库布里克/2001太空漫游/2001：创造神话	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/2001：创造神话/The.Making.of.a.Myth.mkv	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/The.Making.of.a.Myth.mkv	1	1	0	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/2001：创造神话/OG.The.Making.of.a.Myth.mkv
/Volumes/导演们/斯坦利·库布里克/2001太空漫游/看见未来的视野：2001的预言	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/看见未来的视野：2001的预言/The.Prophesy.of.2001.mkv	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/The.Prophesy.of.2001.mkv	1	1	0	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/看见未来的视野：2001的预言/OG.The.Prophesy.of.2001.mkv
/Volumes/导演们/斯坦利·库布里克/2001太空漫游/站在库布里克的肩上：2001的馈赠	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/站在库布里克的肩上：2001的馈赠/The.Legacy.of.2001.mkv	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/The.Legacy.of.2001.mkv	1	1	0	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/站在库布里克的肩上：2001的馈赠/OG.The.Legacy.of.2001.mkv
/Volumes/导演们/斯坦利·库布里克/斯坦利·库布里克的视角	/Volumes/导演们/斯坦利·库布里克/斯坦利·库布里克的视角/The.Visions.of.Stanley.Kubrick.mkv	/Volumes/导演们/斯坦利·库布里克/The.Visions.of.Stanley.Kubrick.mkv	1	1	0	/Volumes/导演们/斯坦利·库布里克/斯坦利·库布里克的视角/OG.The.Visions.of.Stanley.Kubrick.mkv
/Volumes/导演们/斯坦利·库布里克/杀手之吻	/Volumes/导演们/斯坦利·库布里克/杀手之吻/杀手之吻.Killer's.Kiss.1955.CC.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/斯坦利·库布里克/杀手之吻.Killer's.Kiss.1955.CC.BDRip.X264.iNT-TLF.mkv	1	2	0	/Volumes/导演们/斯坦利·库布里克/杀手之吻/OG.杀手之吻.Killer's.Kiss.1955.CC.BDRip.X264.iNT-TLF.mkv
/Volumes/导演们/斯坦利·库布里克/闪灵/遗忘的风景：雕塑“闪灵”	/Volumes/导演们/斯坦利·库布里克/闪灵/遗忘的风景：雕塑“闪灵”/View.From.the.Crafting.-.Into.the.Darkness.mkv	/Volumes/导演们/斯坦利·库布里克/闪灵/View.From.the.Crafting.-.Into.the.Darkness.mkv	1	1	0	/Volumes/导演们/斯坦利·库布里克/闪灵/遗忘的风景：雕塑“闪灵”/OG.View.From.the.Crafting.-.Into.the.Darkness.mkv
/Volumes/导演们/斯特劳布于勒夫妇/弗尔蒂尼和卡尼	/Volumes/导演们/斯特劳布于勒夫妇/弗尔蒂尼和卡尼/弗尔蒂尼和卡尼.Fortini.Cani.1976.mkv	/Volumes/导演们/斯特劳布于勒夫妇/弗尔蒂尼和卡尼.Fortini.Cani.1976.mkv	1	1	0	/Volumes/导演们/斯特劳布于勒夫妇/弗尔蒂尼和卡尼/OG.弗尔蒂尼和卡尼.Fortini.Cani.1976.mkv
/Volumes/导演们/斯蒂芬·乌赫尔/三个女儿	/Volumes/导演们/斯蒂芬·乌赫尔/三个女儿/三个女儿.Tri.dcery.1968.mkv	/Volumes/导演们/斯蒂芬·乌赫尔/三个女儿.Tri.dcery.1968.mkv	1	2	0	/Volumes/导演们/斯蒂芬·乌赫尔/三个女儿/OG.三个女儿.Tri.dcery.1968.mkv
/Volumes/导演们/曼·雷伊/Mystères du château de Dé, Les	/Volumes/导演们/曼·雷伊/Mystères du château de Dé, Les/Les.Mysteres.du.Chateau.du.De.1929.mkv	/Volumes/导演们/曼·雷伊/Les.Mysteres.du.Chateau.du.De.1929.mkv	1	1	0	/Volumes/导演们/曼·雷伊/Mystères du château de Dé, Les/OG.Les.Mysteres.du.Chateau.du.De.1929.mkv
/Volumes/导演们/曼努埃尔·德·奥利维拉/安吉里卡奇遇	/Volumes/导演们/曼努埃尔·德·奥利维拉/安吉里卡奇遇/安吉里卡奇遇.The.Strange.Case.of.Angelica.2010.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/曼努埃尔·德·奥利维拉/安吉里卡奇遇.The.Strange.Case.of.Angelica.2010.BDRip.X264.iNT-TLF.mkv	1	2	0	/Volumes/导演们/曼努埃尔·德·奥利维拉/安吉里卡奇遇/OG.安吉里卡奇遇.The.Strange.Case.of.Angelica.2010.BDRip.X264.iNT-TLF.mkv
