folder	subdir	note_or_subtitle_count	movie_count	other_file_count	nested_dir_count
/Volumes/导演们/约瑟夫·罗西/鳟鱼 La Truite (1982)	/Volumes/导演们/约瑟夫·罗西/鳟鱼 La Truite (1982)/subs	2	0	2	0
/Volumes/导演们/吉洛·彭泰科沃	/Volumes/导演们/吉洛·彭泰科沃/阿尔及尔之战	1	2	0	0
/Volumes/导演们/南尼·莫莱蒂	/Volumes/导演们/南尼·莫莱蒂/凯门鳄	1	1	0	0
/Volumes/导演们/伊日·门泽尔/失翼灵雀	/Volumes/导演们/伊日·门泽尔/失翼灵雀/花絮	feature/extras-like subdir skipped
/Volumes/导演们/肯·洛奇/小孩与鹰	/Volumes/导演们/肯·洛奇/小孩与鹰/花絮	feature/extras-like subdir skipped
/Volumes/导演们/曼努埃尔·德·奥利维拉	/Volumes/导演们/曼努埃尔·德·奥利维拉/亚伯拉罕山谷	1	1	2	0
/Volumes/导演们/曼努埃尔·德·奥利维拉	/Volumes/导演们/曼努埃尔·德·奥利维拉/安吉里卡奇遇	2	2	0	0
/Volumes/导演们/曼努埃尔·德·奥利维拉	/Volumes/导演们/曼努埃尔·德·奥利维拉/弗兰西斯卡	1	1	0	0
/Volumes/导演们/曼努埃尔·德·奥利维拉	/Volumes/导演们/曼努埃尔·德·奥利维拉/神曲	0	1	0	1
/Volumes/导演们/曼努埃尔·德·奥利维拉	/Volumes/导演们/曼努埃尔·德·奥利维拉/追忆童年往事	0	1	2	0
/Volumes/分类/华语世界/中国大陆/20世纪老电影	/Volumes/分类/华语世界/中国大陆/20世纪老电影/80	0	19	1	2
/Volumes/分类/华语世界/中国大陆/20世纪老电影	/Volumes/分类/华语世界/中国大陆/20世纪老电影/90	0	13	1	1
/Volumes/分类/华语世界/中国大陆/导演们/田壮壮/盗马贼	/Volumes/分类/华语世界/中国大陆/导演们/田壮壮/盗马贼/花絮	feature/extras-like subdir skipped
/Volumes/分类/华语世界/中国大陆/导演们/陈凯歌/风月	/Volumes/分类/华语世界/中国大陆/导演们/陈凯歌/风月/花絮	feature/extras-like subdir skipped
/Volumes/分类/华语世界/台湾/张作骥	/Volumes/分类/华语世界/台湾/张作骥/爸.你好吗	2	2	0	0
/Volumes/分类/华语世界/台湾/张作骥	/Volumes/分类/华语世界/台湾/张作骥/蝴蝶	1	2	0	0
/Volumes/分类/华语世界/台湾/张作骥	/Volumes/分类/华语世界/台湾/张作骥/黑暗之光	0	1	2	0
/Volumes/分类/传记·一段历史/科特·科本：关于一个孩子	/Volumes/分类/传记·一段历史/科特·科本：关于一个孩子/sub	0	0	2	0
/Volumes/分类/动画片/大妹子们的动画时间	/Volumes/分类/动画片/大妹子们的动画时间/[SGS][Otona_Jyoshi_no_Anime_Time_Kawamo_wo_Suberu_Kaze][720p][Subs_Fonts]	3	0	1	0
/Volumes/分类/恐怖/脑髓地狱	/Volumes/分类/恐怖/脑髓地狱/Featurettes	feature/extras-like subdir skipped
/Volumes/分类/爱情/三妻艳史	/Volumes/分类/爱情/三妻艳史/[三妻艳史].A.Letter.To.Three.Wives.1949.DVDRip.XviD-VH-PROD	0	0	2	0
/Volumes/分类/纪录/如何死在俄勒冈州	/Volumes/分类/纪录/如何死在俄勒冈州/寻求庇护	0	0	2	0
/Volumes/分类/纪录/诗歌的力量	/Volumes/分类/纪录/诗歌的力量/Sample	feature/extras-like subdir skipped
/Volumes/分类/纪录/诗歌的力量	/Volumes/分类/纪录/诗歌的力量/Subs	0	0	1	0
/Volumes/分类/科幻·奇幻/天使消失的年代	/Volumes/分类/科幻·奇幻/天使消失的年代/Čechomor-Rok Ďábla (2002) 192kbps	0	0	27	0
/Volumes/分类/科幻·奇幻/玛丽娜	/Volumes/分类/科幻·奇幻/玛丽娜/Ļ	0	0	4	0
/Volumes/分类/名著改编/卡夫卡电影作品集/变形记	/Volumes/分类/名著改编/卡夫卡电影作品集/变形记/__MACOSX	0	0	0	0
/Volumes/分类/喜剧/捷克有间大酒店	/Volumes/分类/喜剧/捷克有间大酒店/Extra	feature/extras-like subdir skipped
/Volumes/分类/惊悚·犯罪·动作/三个邪恶的人	/Volumes/分类/惊悚·犯罪·动作/三个邪恶的人/三个邪恶的人(1930年翻拍)	0	1	0	0
