folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/朱拉·亚库比斯克/(1980)家屋的梦想 Postav dom, zasad strom	/Volumes/导演们/朱拉·亚库比斯克/(1980)家屋的梦想 Postav dom, zasad strom/家屋的梦想.Postav.dom.zasad.strom.1980.SCN.Title1.DVDRip.avi	2	0	
/Volumes/导演们/朱拉·亚库比斯克/(1989)潇洒上枝头	/Volumes/导演们/朱拉·亚库比斯克/(1989)潇洒上枝头/潇洒上枝头.Sedim.na.konari.a.je.mi.dobre.1989.avi	1	0	paired sidecar: Sedim na konari a je mi dobre.sub
/Volumes/导演们/安德烈·塔尔科夫斯基/塔尔科夫斯基《岛》	/Volumes/导演们/安德烈·塔尔科夫斯基/塔尔科夫斯基《岛》/岛.Andrei.Tarkovsky.Sergei.Parajanov.-.Islands.chs.mp4	2	0	
/Volumes/导演们/奥德里奇·利普斯基/雷蒙纳多·乔	/Volumes/导演们/奥德里奇·利普斯基/雷蒙纳多·乔/雷蒙纳多·乔.Limonadovy.Joe.aneb.Konska.opera.1964.Lemonade.Joe.mp4	1	0	paired sidecar: Limonadovy.Joe.aneb.Konska.opera.Lemonade.Joe.sub
/Volumes/导演们/今村昌平/西银座驿前	/Volumes/导演们/今村昌平/西银座驿前/西银座驿前.Nishi.Ginza.Station.1958.mp4	1	0	paired sidecar: 西银座驿前.Nishi.Ginza.Station.1958.sub
/Volumes/导演们/今村昌平/赤色杀机	/Volumes/导演们/今村昌平/赤色杀机/Akai Satsui (1964) Intentions Of Murder.avi	1	0	paired sidecar: VTS_03_0.sub
/Volumes/导演们/林赛·安德森/假如	/Volumes/导演们/林赛·安德森/假如/假如.If.1968.DVDRip.XviD-FRAGMENT.mp4	1	0	paired sidecar: 假如.If....1968.DVDRip.XviD-FRAGMENT.sub
/Volumes/导演们/林赛·安德森/如此运动生涯	/Volumes/导演们/林赛·安德森/如此运动生涯/如此运动生涯.This.Sporting.Life.1963.512.24fps.630kbs.96abr.WunSeeDee.mp4	1	0	paired sidecar: 如此运动生涯.This.Sporting.Life.1963.512.24fps.630kbs.96abr.WunSeeDee.sub
/Volumes/导演们/斯坦利·库布里克/幸运的马尔科姆	/Volumes/导演们/斯坦利·库布里克/幸运的马尔科姆/Lucky.Malcolm.mkv	1	0	paired sidecar: Lucky Malcolm.sub
/Volumes/导演们/斯坦利·库布里克/全金属外壳/全金属外壳：善与恶之间	/Volumes/导演们/斯坦利·库布里克/全金属外壳/全金属外壳：善与恶之间/Between.Good.and.Evil.mkv	1	0	paired sidecar: Between Good and Evil.sub
