folder	reason	detail
/Volumes/导演们/雷德利·斯科特/银翼杀手	subdir is not subtitle-only or feature-like	/Volumes/导演们/雷德利·斯科特/银翼杀手/危险的日子：银翼杀手制作始末 subtitles=3 movies=3 others=2 nested_dirs=0
/Volumes/导演们/雷德利·斯科特/银翼杀手/危险的日子：银翼杀手制作始末	not a single movie folder	movies=3 subtitles=3 subdirs=0 other_files=2
/Volumes/导演们/路易·德·菲奈斯[演员]	not a single movie folder	movies=16 subtitles=0 subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃	not a single movie folder	movies=6 subtitles=0 subdirs=2 other_files=0
/Volumes/导演们/路易斯·布努埃/无粮之土	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃/沙漠中的西蒙	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔	not a single movie folder	movies=6 subtitles=0 subdirs=19 other_files=0
/Volumes/导演们/路易斯·布努埃尔/墨西哥巴士奇遇	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔/奇异的激情	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔/帕欧的火山	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔/没有爱的女人	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔/泯灭天使	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔/纳萨林	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
/Volumes/导演们/路易斯·布努埃尔/维莉蒂安娜	not a single movie folder	movies=2 subtitles=0 subdirs=0 other_files=0
/Volumes/导演们/路易斯·布努埃尔/这就叫黎明	single movie folder without root subtitles but has extras/other files	subdirs=0 other_files=2
