# status	folder	message
DONE	/Volumes/导演们/斯坦利·库布里克/全金属外壳/全金属外壳：善与恶之间	completed 2026-07-17 21:46:36; output=/Volumes/导演们/斯坦利·库布里克/全金属外壳/Between.Good.and.Evil.mkv
FAILED	/Volumes/导演们/斯坦利·库布里克/闪灵/《制作闪灵》---薇薇安·库布里克同步拍摄的《闪灵》纪录片	unexpected files found in /Volumes/导演们/斯坦利·库布里克/闪灵/《制作闪灵》---薇薇安·库布里克同步拍摄的《闪灵》纪录片
DONE	/Volumes/导演们/斯坦利·库布里克/发条橙/制造“发条橙”大杂烩！	completed 2026-07-17 21:46:52; output=/Volumes/导演们/斯坦利·库布里克/发条橙/Making.A.Clockwork.Orange.mkv
DONE	/Volumes/导演们/斯坦利·库布里克/发条橙/发条橙的回归	completed 2026-07-17 21:47:14; output=/Volumes/导演们/斯坦利·库布里克/发条橙/The.Return.of.A.Clockwork.Orange.mkv
DONE	/Volumes/导演们/熊切和嘉/揮発性の女	completed 2026-07-17 21:47:34; output=/Volumes/导演们/熊切和嘉/揮発性女.Volatile.Woman.2004.DVDRip.XviD-LiiO.mkv
DONE	/Volumes/导演们/亚历山大·索科洛夫/卑微的人生	completed 2026-07-17 21:49:44; output=/Volumes/导演们/亚历山大·索科洛夫/卑微的人生.A.Humble.Life.1997.mkv
DONE	/Volumes/导演们/沟口建二/新平家物语	completed 2026-07-17 21:50:36; output=/Volumes/导演们/沟口建二/新平家物语.Shin.heike.monogatari.1955.DVDRip.XviD.Jap.mkv
DONE	/Volumes/导演们/沟口建二/歌麿和他的五个女人	completed 2026-07-17 21:51:07; output=/Volumes/导演们/沟口建二/歌麿和他的五个女人.Utamaro.o.meguru.gonin.no.onna.1946.mkv
DONE	/Volumes/导演们/沟口建二/阿游小姐	completed 2026-07-17 21:51:38; output=/Volumes/导演们/沟口建二/阿游小姐.Oyu-sama.1951.mkv
DONE	/Volumes/导演们/卡尔·卡切纳/监听	completed 2026-07-17 21:52:06; output=/Volumes/导演们/卡尔·卡切纳/监听.Ucho.1970.mkv
DONE	/Volumes/导演们/卡尔·西奥多·德莱叶/房屋的主人	completed 2026-07-17 21:52:46; output=/Volumes/导演们/卡尔·西奥多·德莱叶/房屋的主人.Master.Of.The.House.1925.DVDRip.XviD-MOC.mkv
DONE	/Volumes/导演们/卡尔·西奥多·德莱叶/麦克尔	completed 2026-07-17 21:53:32; output=/Volumes/导演们/卡尔·西奥多·德莱叶/麦克尔.Michael.(Chained).1924.Carl.Theodor.Dreyer.mkv
DONE	/Volumes/导演们/卡尔·西奥多·德莱叶/短片/好妈妈	completed 2026-07-17 21:53:40; output=/Volumes/导演们/卡尔·西奥多·德莱叶/短片/好妈妈.Good.Mothers.1942.DVDRip.mkv
DONE	/Volumes/导演们/三池崇史/极道黑社会	completed 2026-07-17 21:54:07; output=/Volumes/导演们/三池崇史/极道黑社会.Rainy.Dog.1997.DVDrip.XviD-H2O.mkv
DONE	/Volumes/导演们/三池崇史/生存还是毁灭	completed 2026-07-17 21:55:00; output=/Volumes/导演们/三池崇史/生存还是毁灭.Dead.or.Alive.1.Hanzaisha.1999.DVDRip.XviD-NM.mkv
DONE	/Volumes/导演们/安东尼奥尼/扎布里斯基角	completed 2026-07-17 21:55:55; output=/Volumes/导演们/安东尼奥尼/扎布里斯基角.Zabriskie.Point.1970.dvdrip.mkv
DONE	/Volumes/导演们/普雷斯顿·斯塔奇斯/淑女伊芙	completed 2026-07-17 21:56:41; output=/Volumes/导演们/普雷斯顿·斯塔奇斯/淑女伊芙.The.Lady.Eve.1941.DVDRip.Divx.5.11.MP3-Wolfman.mkv
DONE_REVIEW	/Volumes/导演们/亚历桑德罗·佐杜洛夫斯基/鼹鼠	output completed, but folder was not removed: /Volumes/导演们/亚历桑德罗·佐杜洛夫斯基/El Topo.mkv
DONE	/Volumes/导演们/原一男/前进，神军！	completed 2026-07-17 22:00:30; output=/Volumes/导演们/原一男/前进.神军.ゆきゆきて.神軍.1987.mkv
DONE	/Volumes/导演们/奥塔·埃索里亚尼/我不想回家	completed 2026-07-17 22:02:36; output=/Volumes/导演们/奥塔·埃索里亚尼/我不想回家.Otar.Iosseliani.-.Adieu.Plancher.des.Vaches.(In.vino.vertas).1999.arbitr.mkv
DONE	/Volumes/导演们/奥塔·埃索里亚尼/托斯卡的小修道院	completed 2026-07-17 22:03:02; output=/Volumes/导演们/奥塔·埃索里亚尼/托斯卡纳的小修道院.Un.petit.monastere.en.Toscane.1988.mkv
DONE	/Volumes/导演们/奥塔·埃索里亚尼/秋天的花园	completed 2026-07-17 22:06:37; output=/Volumes/导演们/奥塔·埃索里亚尼/秋天的花园.Jardins.en.automne.2006.mkv
DONE	/Volumes/导演们/奥塔·埃索里亚尼/落叶	completed 2026-07-17 22:07:20; output=/Volumes/导演们/奥塔·埃索里亚尼/落叶.Otar.Iosseliani-Giorgobistve.(.Falling.Leaves.).1966.mkv
DONE	/Volumes/导演们/奥塔·埃索里亚尼/追逐蝴蝶	completed 2026-07-17 22:08:15; output=/Volumes/导演们/奥塔·埃索里亚尼/1992.追逐蝴蝶.Otar.Iosseliani.-.1992.-.La.Chasse.aux.papillons.mkv
DONE	/Volumes/导演们/彼得·格林纳威/挨个儿淹死	completed 2026-07-17 22:10:25; output=/Volumes/导演们/彼得·格林纳威/淹死老公.Drowning.by.Numbers.1988.mkv
DONE	/Volumes/导演们/彼得·格林纳威/画师的合同	completed 2026-07-17 22:13:12; output=/Volumes/导演们/彼得·格林纳威/画师的合同.The.Draughtsmans.Contract.1982.Eng.DVDRip.mkv
FAILED	/Volumes/导演们/布莱恩·德·帕尔玛/危情羔羊	subtitle encoding detection failed: /Volumes/导演们/布莱恩·德·帕尔玛/危情羔羊/危情羔羊.Raising.Cain.1992.DVDRiP.XviD-Grand.chs.srt :: 
FAILED	/Volumes/导演们/布莱恩·德·帕尔玛/愤怒	subtitle encoding detection failed: /Volumes/导演们/布莱恩·德·帕尔玛/愤怒/魔血.The.Fury.1978.DVDRip.XviD-Smokey888.tehPARADOX.com.chs.srt :: 
DONE	/Volumes/导演们/布莱恩·德·帕尔玛/黑街福星	completed 2026-07-17 22:13:49; output=/Volumes/导演们/布莱恩·德·帕尔玛/黑街福星.Wise.Guys.1986.DVDRip.XviD-SAPHiRE.mkv
DONE	/Volumes/导演们/成濑巳喜男/不是血親	completed 2026-07-17 22:14:11; output=/Volumes/导演们/成濑巳喜男/不是血親.No.Blood.Relation.1932.DVDRip.XviD-WRD.mkv
DONE	/Volumes/导演们/成濑巳喜男/夜夜作梦	completed 2026-07-17 22:14:33; output=/Volumes/导演们/成濑巳喜男/夜夜作梦.Every.Night.Dreams.1933.DVDRip.XviD-WRD.mkv
